Year,LocationAbbr,LocationDesc,HealthTopic,PolicyTopic,Setting,Title,Status,Citation,StatusAltValue,EnactedDate,EffectiveDate
2009,TN,Tennessee,Nutrition,Appropriations,Community,Taxes,Dead,H3596,3,,
2010,TX,Texas,Obesity,Appropriations,Early Care and Education,Outdoor Space Requirements,Enacted,R18105,1,1/1/2010 0:00,
2001,PA,Pennsylvania,Physical Activity,Bicycling,Community,House Resolution,Enacted,HR203,1,1/1/2001 0:00,
2009,MN,Minnesota,Nutrition,Medical Care,Community,Transportation,Dead,S807,3,,
2009,MN,Minnesota,Obesity,Appropriations,Community,Red Rock Corridor Transit Way,Dead,H48,3,,
2011,TX,Texas,Nutrition,Access to Healthy Foods,School/After School,Food Marketing,Dead,H3679,3,,
2009,MO,Missouri,Nutrition,Task Forces/Councils,Community,Commission on Prevention and Management of Obesity,Dead,H1162,3,,
2010,RI,Rhode Island,Obesity,Sugar Sweetened Beverages,Restaurant/Retail,Taxation,Dead,S2199,3,,
2009,MT,Montana,Nutrition,Farmers Markets,Community,Farmers Market Laws,Dead,D1501,3,,
2011,MA,Massachusetts,Nutrition,Access to Healthy Foods,Community,Cranberry Nutrient Management Study Commission,Dead,HD64,3,,
2011,MA,Massachusetts,Nutrition,Medical Care,Community,Law of the Road and Bicyclists,Dead,HD3378,3,,
2009,ME,Maine,Nutrition,Appropriations,Early Care and Education,Certification of Family Child Care Providers,Enacted,R9148,1,1/1/2009 0:00,
2001,ME,Maine,Physical Activity,Bicycling,Community,House Resolution<br>,Enacted,HR1335,1,1/1/2001 0:00,
2008,HI,Hawaii,Nutrition,Incentives,Community,Senate Concurrent  Resolution<br>,Enacted,SCR134,1,1/1/2008 0:00,
2009,NY,New York,Nutrition,Medical Care,Community,Bicycle Lane,Dead,A2842,3,,
2009,TX,Texas,Obesity,Appropriations,Community,State Park System,Enacted,R15374,1,1/1/2009 0:00,
2011,NY,New York,Physical Activity,Bicycling,Community,Parking in a Bicycle Lane,Dead,A1825,3,,
2011,MA,Massachusetts,Nutrition,Farm Direct Foods,Community,Foods Containing Artificial Trans Fat,Dead,HD1865,3,,
2010,HI,Hawaii,Obesity,Appropriations,Community,Parking in Bicycle Paths,Dead,HR185,3,,
2011,NH,New Hampshire,Nutrition,Access to Healthy Foods,Community,Definition of Local,Dead,LSR2226,3,,
2009,MA,Massachusetts,Nutrition,Nutrition Standards,School/After School,Student Nutrition and Wellness,Dead,HD1736,3,,
2009,AR,Arkansas,Nutrition,Farm Direct Foods,Community,Raw Farm Products,Dead,H2122,3,,
2011,TX,Texas,Nutrition,Appropriations,Community,Community Food Gardens,Dead,S184,3,,
2010,WV,West Virginia,Obesity,Appropriations,Community,State Trail Authority,Dead,H2461,3,,
2010,OR,Oregon,Nutrition,Farm Direct Foods,Community,Senior Farm Direct Nutrition Program,Enacted,R31659,1,1/1/2010 0:00,
2010,NY,New York,Nutrition,Appropriations,Community,Prohibited Food Stamp Purchases,Dead,A10965,3,,
2011,OR,Oregon,Nutrition,Access to Healthy Foods,Restaurant/Retail,Establishment of Nutritional Requirement for Food Items,Dead,H3224,3,,
2013,OR,Oregon,Nutrition,Agriculture and Farming,Community,Uses Authorized in Forest Zones,Enacted,35184,1,1/1/2013 0:00,1/1/2013 0:00
2010,NJ,New Jersey,Obesity,Appropriations,Community,Local Streets Speed Limits,Dead,A884,3,,
2009,MO,Missouri,Nutrition,Appropriations,School/After School,Physical Education,Dead,S521,3,,
2010,MS,Mississippi,Nutrition,Appropriations,Restaurant/Retail,Certified Farmers' Markets,Enacted,R12239,1,1/1/2010 0:00,
2014,NJ,New Jersey,Physical Activity,Appropriations,Community,Administrative Rules for Fees,Enacted,20399,1,12/15/2014 0:00,1/20/2015 0:00
2010,MI,Michigan,Physical Activity,Physical Education Requirements,Community,Physical Education,Dead,S1341,3,,
2010,AR,Arkansas,Obesity,Appropriations,Community,2010 Community Development Block Grant,Enacted,R5760,1,1/1/2010 0:00,
2010,SC,South Carolina,Obesity,Appropriations,Community,Real Property Owned and Leased by the Department,Enacted,R3117,1,1/1/2010 0:00,
2009,WV,West Virginia,Nutrition,Appropriations,Community,Awareness Program,Dead,H3099,3,,
2010,MO,Missouri,Nutrition,Appropriations,Community,Local Food Sales Permits,Dead,S1015,3,,
2009,PA,Pennsylvania,Obesity,Appropriations,Community,Parks,Dead,S185,3,,
2011,ME,Maine,Nutrition,Appropriations,Community,Farm and Fish School Program,Dead,LR585,3,,
2002,DC,District of Columbia,Nutrition,Farmers Markets,Community,An Act Making Appropriations   <br>,Enacted,PR719,1,1/1/2002 0:00,
2011,NJ,New Jersey,Physical Activity,Disparities/Equity,Community,"Bicycles, Forfeited",Dead,A3758,3,,
2010,MS,Mississippi,Obesity,Sugar Sweetened Beverages,Community,Sweetened Beverages and Syrups Tax,Dead,S3109,3,,
2009,MA,Massachusetts,Nutrition,Medical Care,Community,Bicyclists and Road Laws,Dead,HD2517,3,,
2009,LA,Louisiana,Obesity,Appropriations,Community,Income Tax Credit,Dead,H871,3,,
2010,MI,Michigan,Nutrition,Appropriations,Community,Cottage Food Operation,Dead,S1403,3,,
2010,MO,Missouri,Nutrition,Appropriations,Restaurant/Retail,Local Foods Initiative,Dead,S926,3,,
2009,MN,Minnesota,Obesity,Appropriations,Community,Human Services,Dead,S519,3,,
2011,FL,Florida,Obesity,Initiatives and Programs,Community,Chronic Diseases<br>,Dead,S526,3,1/1/2012 0:00,
2010,WA,Washington,Obesity,Body Mass Index (BMI),Community,Fiscal Reform,Dead,H3070,3,,
2010,NY,New York,Physical Activity,Safe Routes to Schools,School/After School,Charter Schools,Dead,S6468,3,,
2009,NY,New York,Obesity,Access to Drinking Water,Community,Nutrition and Fitness Website,Dead,A5476,3,,
2011,RI,Rhode Island,Obesity,Appropriations,Community,Supplemental Nutrition Program,Enacted,R4421,1,1/1/2011 0:00,
2007,VT,Vermont,Nutrition,Farmers Markets,Community,House Joint Resolution <br>,Enacted,HJR42,1,1/1/2007 0:00,
2009,HI,Hawaii,Obesity,Appropriations,Community,Loan Guaranty Program,Dead,H837,3,,
2009,MN,Minnesota,Nutrition,Agriculture and Farming,Community,Agriculture,Dead,S1943,3,,
2011,MT,Montana,Obesity,Incentives,Restaurant/Retail,Soft Drink and Sugared Beverage Excise Tax,Dead,D1204,3,,
2011,NY,New York,Obesity,Appropriations,Community,Prelicensing Drivers Education Course,Dead,A7653,3,,
2011,NY,New York,Physical Activity,Bicycling,Community,Prelicensing Drivers Education Course,Dead,A7653,3,,
2011,MA,Massachusetts,Nutrition,Farm Direct Foods,Restaurant/Retail,Farmers Markets,Dead,HD3345,3,,
2009,MA,Massachusetts,Obesity,Disparities/Equity,Community,School Nutrition,Dead,HD638,3,,
2009,GA,Georgia,Nutrition,Initiatives and Programs,Early Care and Education,Group Day Care Homes,Enacted,R5327,1,1/1/2009 0:00,
2009,MA,Massachusetts,Physical Activity,Physical Activity Requirements,School/After School,School Nutrition,Dead,HD638,3,,
2009,MT,Montana,Nutrition,Appropriations,Community,Funding for Community Gardens,Dead,D760,3,,
2009,MI,Michigan,Physical Activity,Bicycling,Community,Bicycle Safety,Dead,S531,3,,
2009,MO,Missouri,Nutrition,Appropriations,Community,Healthy Food Pilot Program,Dead,H32,3,,
2009,TN,Tennessee,Nutrition,Farm Direct Foods,Community,Food and Food Products,Dead,H1930,3,,
2009,NH,New Hampshire,Nutrition,Appropriations,Community,Fee on Certain Beverages,Dead,LSR2433,3,,
2010,TN,Tennessee,Nutrition,Healthier Food Retail and Food Deserts,Restaurant/Retail,Public Funds and Financing,Dead,H3094,3,,
2009,HI,Hawaii,Nutrition,Incentives,Community,General Excise Tax and Exemption,Dead,S1081,3,,
2009,IA,Iowa,Nutrition,Appropriations,Community,Administrative Structure of the Department,Enacted,R8240,1,1/1/2009 0:00,
2009,MA,Massachusetts,Physical Activity,Bicycling,School/After School,Transportation System Modernization,Dead,H4047,3,,
2011,NY,New York,Obesity,Food Restrictions,Restaurant/Retail,Sale Or Use of High Fructose Corn Syrup,Dead,A2562,3,,
2009,MT,Montana,Obesity,Food Restrictions,Community,Funding for Community Gardens,Dead,D760,3,,
2009,MA,Massachusetts,Obesity,Appropriations,Community,Student Nutrition and Wellness,Dead,HD1736,3,,
2009,MA,Massachusetts,Obesity,Appropriations,School/After School,Physical Education,Dead,HD1272,3,,
2010,MA,Massachusetts,Physical Activity,Public Safety,Community,Economic Development Incentive Program (EDIP),Enacted,R9643,1,1/1/2010 0:00,
2011,UT,Utah,Nutrition,Appropriations,Restaurant/Retail,Short Title - Locally Produced Agriculture,Dead,H396,3,,
2010,VT,Vermont,Nutrition,Healthier Food Retail and Food Deserts,Community,Soft Drinks,Dead,H660,3,,
2009,MA,Massachusetts,Physical Activity,Public Transportation,Community,Transportation System Modernization,Dead,H4047,3,,
2011,CA,California,Nutrition,Farm Direct Foods,Community,Food and Agriculture<br>,Enacted,20182,1,1/1/2011 0:00,
2008,IA,Iowa,Physical Activity,Bicycling,Community,Bicycle Laws,Dead,D1516,3,,
2011,ME,Maine,Nutrition,Correctional Facilities Farms Programs,Community,State Prison Vegetable Garden Requirements,Dead,LR1854,3,,
2013,PA,Pennsylvania,Nutrition,Initiatives and Programs,Community,Hunger Action Month,Enacted,SR194,1,9/25/2013 0:00,9/25/2013 0:00
2009,MA,Massachusetts,Obesity,Food Restrictions,Community,School Nutrition,Dead,HD638,3,,
2011,GA,Georgia,Nutrition,Media Campaigns,Community,Legislative Resolution,Enacted,SR627,1,1/1/2011 0:00,
2009,NY,New York,Physical Activity,Public Safety,Community,Empire State Housing Investment Fund Act,Dead,A9115,3,,
2013,MA,Massachusetts,Physical Activity,Public Transportation,Community,Smart Growth Zoning Overlay District,Enacted,10236,1,1/1/2013 0:00,
2009,NJ,New Jersey,Nutrition,Appropriations,School/After School,Nutritional Information,Dead,A4059,3,,
2011,CT,Connecticut,Nutrition,Appropriations,Community,Breastfeeding in Public,Dead,H6077,3,,
2010,WA,Washington,Obesity,Liability and Indemnity,Community,Tax Increases,Enacted,BI10,1,1/1/2010 0:00,
2011,NH,New Hampshire,Nutrition,Appropriations,Community,Definition of Local,Dead,LSR2226,3,,
2010,NY,New York,Nutrition,Correctional Facilities Farms Programs,Work Place,Advisory Committee on Public Wellness,Dead,S8186,3,,
2009,TN,Tennessee,Nutrition,Nutrition Standards,School/After School,Education,Dead,S421,3,,
2011,MA,Massachusetts,Nutrition,Access to Healthy Foods,Community,Foods Containing Artificial Trans Fat,Dead,SD868,3,,
2009,MA,Massachusetts,Physical Activity,Public Transportation,Community,Renewal Communities and Smart Growth Zoning,Dead,SD1296,3,,
2011,MN,Minnesota,Physical Activity,Safe Routes to Schools,School/After School,Transportation,Dead,S1439,3,,
2011,WV,West Virginia,Obesity,Appropriations,Community,Food Tax Increasing the Tax on Nonintoxicating Beer,Dead,H3239,3,,
2009,TX,Texas,Physical Activity,Bicycling,Community,Partnership for Children in Nature,Dead,H3271,3,,
2012,MI,Michigan,Nutrition,Appropriations,Community,An Act Making Appropriations<br>,Enacted,H5500,1,1/1/2012 0:00,
2010,WA,Washington,Nutrition,Incentives,Work Place,Insurance Benefits,Dead,S6756,3,,
2013,NE,Nebraska,Obesity,Appropriations,Community,An Act Relating to Appropriations,Introduced,LB119,0,,
2011,MA,Massachusetts,Obesity,Appropriations,Community,Creation of the Barnstable Yarmouth Bike Path,Dead,SD1703,3,,
2009,TX,Texas,Nutrition,Appropriations,Restaurant/Retail,Foods Containing Trans Fat,Dead,H1523,3,,
2010,IL,Illinois,Nutrition,Incentives,Community,Obesity Prevention Initiative Act,Dead,S3639,3,,
2009,MA,Massachusetts,Obesity,Health Insurance Coverage,Community,School Nutrition,Dead,HD638,3,,
2011,WA,Washington,Physical Activity,Pedestrians/Walking,School/After School,Permanent Rules,Enacted,30503,1,1/1/2011 0:00,
2011,TX,Texas,Obesity,Disparities/Equity,School/After School,Student Fitness,Dead,H2211,3,,
2011,MO,Missouri,Obesity,Appropriations,Community,Property Tax Relief,Dead,S224,3,,
2009,MA,Massachusetts,Nutrition,Farm Direct Foods,Community,Student Nutrition and Wellness,Dead,HD1736,3,,
2011,MN,Minnesota,Obesity,Appropriations,Community,Capital Improvements,Dead,S257,3,,
2010,NY,New York,Obesity,Appropriations,Community,Blighted Properties and Areas,Dead,A10811,3,,
2011,MA,Massachusetts,Nutrition,Farmers Markets,Restaurant/Retail,Farmers Markets,Dead,HD3345,3,,
2011,ME,Maine,Obesity,Appropriations,Community,Farm Food Products Licensing Requirements,Dead,LR514,3,,
2009,NM,New Mexico,Physical Activity,Appropriations,Community,Small Cities Development Block Grants,Enacted,R5293,1,1/1/2009 0:00,
2009,MA,Massachusetts,Physical Activity,Built Environment and Street-Scale Design,Community,Bicyclists and Road Laws,Dead,HD2517,3,,
2011,NY,New York,Physical Activity,Bicycling,Community,Sales and Use Tax Exemption,Dead,A1975,3,,
2009,HI,Hawaii,Obesity,Appropriations,Community,Complete Streets and Roads and Highways,Dead,H306,3,,
2009,IA,Iowa,Obesity,Food Restrictions,Community,Farmers' Market Programs,Enacted,R7867,1,1/1/2009 0:00,
2009,MA,Massachusetts,Obesity,Appropriations,Community,Out of School Time Programming,Dead,SD1474,3,,
2009,NY,New York,Nutrition,Incentives,Community,Office Of Nutrition And Fitness,Dead,A3095,3,,
2011,MA,Massachusetts,Obesity,Menu Labeling,Community,Smart Growth Zoning and Housing Production,Dead,HD1041,3,,
2012,ME,Maine,Physical Activity,Disabilities,School/After School,Maine Unified Special Education Regulation<br>,Enacted,9840,1,1/1/2012 0:00,
2010,PA,Pennsylvania,Obesity,Portion Size,School/After School,School Foods Reform,Dead,S1419,3,,
2013,RI,Rhode Island,Obesity,Disparities/Equity,Medical and/or Hospital,Rite Care Program,Enacted,5111,1,1/1/2013 0:00,1/1/2013 0:00
2010,NJ,New Jersey,Obesity,Food Restrictions,Community,Milk Coupons,Dead,A2431,3,,
2009,HI,Hawaii,Nutrition,Incentives,Community,Taxation and Soft Drinks,Dead,H438,3,,
2009,NY,New York,Nutrition,Agriculture and Farming,Community,Clean Water Jobs Bond Acts,Dead,S5886,3,,
2011,NY,New York,Obesity,Appropriations,Community,Green Jobs Development,Dead,A1260,3,,
2009,CA,California,Nutrition,Agriculture and Farming,Community,Public Health: Food Justice,Dead,A1488,3,,
2011,ME,Maine,Obesity,Food Restrictions,Restaurant/Retail,Farm Food Products Licensing Requirements,Dead,LR514,3,,
2009,MA,Massachusetts,Nutrition,Liability and Indemnity,School/After School,Public School Sport Program Funding,Dead,S2122,3,,
2009,MA,Massachusetts,Nutrition,Farm Direct Foods,Community,Farmers Markets,Dead,SD979,3,,
2009,NE,Nebraska,Physical Activity,Physical Education Requirements,School/After School,School Accreditation,Enacted,R1691,1,1/1/2009 0:00,
2013,AR,Arkansas,Nutrition,Disparities/Equity,Community,Community Services Block Grant State Plan,Enacted,6458,1,1/1/2013 0:00,1/1/2013 0:00
2007,MI,Michigan,Nutrition,Farm Direct Foods,Community,House Resolution<br>,Enacted,HR28,1,1/1/2007 0:00,
2011,UT,Utah,Obesity,Appropriations,Restaurant/Retail,Short Title - Locally Produced Agriculture,Dead,H396,3,,
2011,NH,New Hampshire,Obesity,Appropriations,Restaurant/Retail,Definition of Local,Dead,LSR2226,3,,
2009,MA,Massachusetts,Obesity,Body Mass Index (BMI),Community,Transportation System Modernization,Dead,H4047,3,,
2009,NJ,New Jersey,Obesity,Appropriations,Community,Urban Transit Hub Tax Credit Program,Enacted,R19075,1,1/1/2009 0:00,
2010,HI,Hawaii,Nutrition,Fruits and Vegetables,School/After School,Farm to School Models,Dead,HCR287,3,,
2011,NH,New Hampshire,Nutrition,Farm Direct Foods,Community,Definition of Local,Dead,LSR2226,3,,
2011,NH,New Hampshire,Obesity,Food Restrictions,Restaurant/Retail,Definition of Local,Dead,LSR2226,3,,
2008,HI,Hawaii,Nutrition,Initiatives and Programs,Community,Senate Concurrent  Resolution<br>,Enacted,SCR134,1,1/1/2008 0:00,
2009,CT,Connecticut,Obesity,Appropriations,Community,State Budget,Vetoed,S1801b,2,,
2010,TN,Tennessee,Nutrition,Appropriations,School/After School,Education,Dead,S2475,3,,
2010,WA,Washington,Nutrition,Access to Healthy Foods,Community,Food Systems,Enacted,EO10,1,1/1/2010 0:00,
2010,NY,New York,Obesity,Menu Labeling,Community,Blighted Properties and Areas,Dead,A10811,3,,
2009,MA,Massachusetts,Obesity,Task Forces/Councils,School/After School,School Nutrition,Dead,HD638,3,,
2010,NJ,New Jersey,Nutrition,Farm Direct Foods,Community,Milk Coupons,Dead,A2431,3,,
2009,HI,Hawaii,Obesity,Food Restrictions,School/After School,School Lunches and Local Produce,Dead,S813,3,,
2011,MA,Massachusetts,Obesity,Food Restrictions,School/After School,Healthy School Meals,Dead,HD1500,3,,
2009,CO,Colorado,Nutrition,Agriculture and Farming,Community,Department of Education Funding,Enacted,S185,1,1/1/2009 0:00,
2010,TX,Texas,Obesity,Appropriations,Early Care and Education,Basic Care Requirements For School-age Children,Enacted,R18461,1,1/1/2010 0:00,
2009,OR,Oregon,Physical Activity,Built Environment and Street-Scale Design,Community,Convictions Used in Driver Improvement,Enacted,R31091,1,1/1/2009 0:00,
2012,GA,Georgia,Nutrition,Access to Healthy Foods,School/After School,An Act Relating to Farm-to-School Programs.<br>,Dead,H843,3,1/1/2012 0:00,
2009,MA,Massachusetts,Physical Activity,Physical Activity Requirements,School/After School,Physical Activity in Schools,Dead,HD3252,3,,
2009,MI,Michigan,Nutrition,Medical Care,Community,Bicycle Safety,Dead,S531,3,,
2010,NH,New Hampshire,Obesity,Health Insurance Coverage,Community,Insurance Coverage for Obesity and Morbid Obesity,Dead,LSR791,3,,
2011,VT,Vermont,Physical Activity,Bicycling,Community,Bicycle Racks on State Buildings,Dead,H307,3,,
2009,MN,Minnesota,Obesity,Body Mass Index (BMI),Community,Capital Improvements,Dead,S101,3,,
2011,IA,Iowa,Nutrition,Farm Direct Foods,Community,Local Farms and Foods,Dead,D2274,3,,
2009,MA,Massachusetts,Obesity,Appropriations,School/After School,School Sports Participation,Dead,HD2981,3,,
2009,MA,Massachusetts,Physical Activity,Built Environment and Street-Scale Design,Community,Slope Resources Areas,Enacted,R9588,1,1/1/2009 0:00,
2010,MN,Minnesota,Nutrition,Agriculture and Farming,Restaurant/Retail,Capital Investment,Dead,S2287,3,,
2011,MA,Massachusetts,Obesity,Appropriations,Community,Financing the Smart Growth Housing Trust Fund,Dead,HD1017,3,,
2009,MA,Massachusetts,Nutrition,Farmers Markets,Community,Electronic Benefit Transfer Farmers Market Project,Dead,SD377,3,,
